epoch	loss	acc	val_loss	val_acc
144	0.023693	0.996219	0.150684	0.972973
145	0.025388	0.995274	0.156464	0.969369
146	0.025669	0.993384	0.147963	0.972973
147	0.027471	0.995274	0.142995	0.972973
148	0.027508	0.995274	0.156482	0.971171
149	0.024871	0.995274	0.156199	0.971171
150	0.024872	0.996219	0.150858	0.971171
151	0.036727	0.987713	0.155892	0.976577
152	0.021679	0.997164	0.151444	0.972973
153	0.033335	0.992439	0.165830	0.969369
154	0.025583	0.996219	0.142838	0.972973
155	0.021192	0.993384	0.139581	0.974775
156	0.024831	0.993384	0.138373	0.972973
157	0.035977	0.989603	0.172323	0.969369
158	0.032279	0.992439	0.139900	0.971171
159	0.029029	0.994329	0.139116	0.976577
160	0.020728	0.998110	0.138763	0.976577
161	0.022486	0.996219	0.147535	0.972973
162	0.034004	0.990548	0.175293	0.969369
163	0.024090	0.995274	0.154928	0.976577
164	0.026206	0.995274	0.142322	0.974775
165	0.027585	0.992439	0.145188	0.974775
166	0.022102	0.997164	0.165854	0.976577
167	0.028442	0.989603	0.159326	0.972973
168	0.026039	0.995274	0.146996	0.974775
169	0.021914	0.996219	0.152318	0.971171
170	0.027517	0.992439	0.159590	0.974775
171	0.020957	0.993384	0.151059	0.974775
172	0.019458	0.998110	0.165654	0.969369
173	0.030093	0.990548	0.156475	0.974775
174	0.023435	0.993384	0.143669	0.974775
175	0.022036	0.994329	0.157170	0.969369
176	0.027617	0.992439	0.161564	0.969369
177	0.018558	0.997164	0.158711	0.969369
178	0.025213	0.994329	0.151986	0.972973
179	0.016939	0.996219	0.153027	0.967568
180	0.020331	0.994329	0.155220	0.971171
181	0.017004	0.996219	0.151695	0.969369
182	0.020292	0.995274	0.162170	0.972973
183	0.027979	0.992439	0.163029	0.969369
184	0.020374	0.994329	0.175382	0.969369
185	0.015244	0.998110	0.152898	0.978378
186	0.017422	0.997164	0.151169	0.974775
187	0.026984	0.992439	0.148677	0.972973
188	0.022971	0.994329	0.163438	0.974775
189	0.019673	0.995274	0.158881	0.972973
190	0.017341	0.996219	0.160962	0.969369
191	0.017634	0.995274	0.173210	0.967568
192	0.017430	0.996219	0.147300	0.972973
193	0.018701	0.995274	0.141483	0.972973
194	0.017542	0.996219	0.153257	0.971171
195	0.020118	0.994329	0.150167	0.971171
196	0.015885	0.998110	0.159645	0.972973
197	0.014141	0.998110	0.156314	0.974775
198	0.023330	0.994329	0.169868	0.967568
199	0.024018	0.991493	0.147542	0.978378
200	0.020068	0.996219	0.155174	0.974775
201	0.012493	0.998110	0.155850	0.971171
202	0.012193	0.998110	0.158120	0.972973
203	0.022785	0.995274	0.156119	0.971171
204	0.044921	0.991493	0.159993	0.972973
205	0.030155	0.988658	0.171001	0.971171
206	0.020346	0.994329	0.162204	0.971171
207	0.015647	0.997164	0.159795	0.974775
208	0.016602	0.998110	0.148952	0.976577
209	0.015196	0.998110	0.154487	0.976577
210	0.021129	0.994329	0.166221	0.972973
211	0.013995	0.996219	0.166836	0.976577
212	0.012466	0.997164	0.156252	0.976577
213	0.016112	0.996219	0.152792	0.974775
214	0.072044	0.982987	0.233851	0.947748
215	0.036827	0.986767	0.162135	0.974775
216	0.020839	0.994329	0.158089	0.972973
217	0.015659	0.998110	0.156414	0.971171
218	0.011486	1.000000	0.157120	0.972973
219	0.019564	0.994329	0.156391	0.972973
220	0.014771	0.998110	0.166994	0.972973
221	0.015490	0.998110	0.153964	0.972973
222	0.015149	0.995274	0.151295	0.972973
223	0.014875	0.997164	0.150980	0.971171
224	0.022612	0.993384	0.150951	0.974775
225	0.016520	0.996219	0.144616	0.972973
226	0.012510	0.997164	0.150450	0.976577
227	0.017185	0.997164	0.164099	0.974775
228	0.013590	0.997164	0.157250	0.974775
229	0.018657	0.995274	0.160261	0.972973
230	0.017189	0.997164	0.147799	0.974775
231	0.016808	0.995274	0.163820	0.972973
232	0.014846	0.996219	0.154557	0.972973
233	0.012832	0.997164	0.149376	0.976577
234	0.015669	0.997164	0.149923	0.974775
235	0.014451	0.998110	0.141958	0.974775
236	0.009352	1.000000	0.151580	0.978378
237	0.013643	0.997164	0.147794	0.972973
238	0.015658	0.996219	0.157554	0.971171
